Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Islas	Tipo de dato	Periodo	Total
Total Nacional				Porcentaje de población que sale del área	10/3/2021	19,75
Total Nacional				Porcentaje de población que sale del área	7/3/2021	10,26
Total Nacional				Porcentaje de población que sale del área	3/3/2021	19,59
Total Nacional				Porcentaje de población que sale del área	28/2/2021	10,86
Total Nacional				Porcentaje de población que sale del área	24/2/2021	19
Total Nacional				Porcentaje de población que sale del área	21/2/2021	9,15
Total Nacional				Porcentaje de población que sale del área	17/2/2021	18,59
Total Nacional				Porcentaje de población que sale del área	14/2/2021	9,61
Total Nacional				Porcentaje de población que sale del área	10/2/2021	17,88
Total Nacional				Porcentaje de población que sale del área	7/2/2021	8,43
Total Nacional				Porcentaje de población que sale del área	3/2/2021	18,26
Total Nacional				Porcentaje de población que sale del área	31/1/2021	8,25
Total Nacional				Porcentaje de población que sale del área	27/1/2021	18,02
Total Nacional				Porcentaje de población que sale del área	24/1/2021	8,35
Total Nacional				Porcentaje de población que sale del área	20/1/2021	17,56
Total Nacional				Porcentaje de población que sale del área	17/1/2021	8,98
Total Nacional				Porcentaje de población que sale del área	13/1/2021	14,5
Total Nacional				Porcentaje de población que sale del área	10/1/2021	7,72
Total Nacional				Porcentaje de población que sale del área	6/1/2021	10,3
Total Nacional				Porcentaje de población que sale del área	3/1/2021	10,02
Total Nacional				Porcentaje de población que sale del área	30/12/2020	17,65
Total Nacional				Porcentaje de población que sale del área	27/12/2020	11,81
Total Nacional				Porcentaje de población que sale del área	23/12/2020	19,36
Total Nacional				Porcentaje de población que sale del área	20/12/2020	12,51
Total Nacional				Porcentaje de población que sale del área	16/12/2020	20,35
Total Nacional				Porcentaje de población que sale del área	13/12/2020	12,33
Total Nacional				Porcentaje de población que sale del área	9/12/2020	19,49
Total Nacional				Porcentaje de población que sale del área	6/12/2020	11,34
Total Nacional				Porcentaje de población que sale del área	2/12/2020	20,22
Total Nacional				Porcentaje de población que sale del área	29/11/2020	11,16
Total Nacional				Porcentaje de población que sale del área	25/11/2020	19,9
Total Nacional				Porcentaje de población que sale del área	22/11/2020	11,16
Total Nacional				Porcentaje de población que sale del área	18/11/2020	20,04
Total Nacional				Porcentaje de población que sale del área	15/11/2020	10,22
Total Nacional				Porcentaje de población que sale del área	11/11/2020	18,79
Total Nacional				Porcentaje de población que sale del área	8/11/2020	10,5
Total Nacional				Porcentaje de población que sale del área	4/11/2020	19,88
Total Nacional				Porcentaje de población que sale del área	1/11/2020	11,78
Total Nacional				Porcentaje de población que sale del área	28/10/2020	20,63
Total Nacional				Porcentaje de población que sale del área	25/10/2020	13,06
Total Nacional				Porcentaje de población que sale del área	21/10/2020	20,71
Total Nacional				Porcentaje de población que sale del área	18/10/2020	13,23
Total Nacional				Porcentaje de población que sale del área	14/10/2020	21,31
Total Nacional				Porcentaje de población que sale del área	11/10/2020	14,02
Total Nacional				Porcentaje de población que sale del área	7/10/2020	21,44
Total Nacional				Porcentaje de población que sale del área	4/10/2020	13,02
Total Nacional				Porcentaje de población que sale del área	30/9/2020	18,25
Total Nacional				Porcentaje de población que sale del área	27/9/2020	11,47
Total Nacional				Porcentaje de población que sale del área	23/9/2020	21,57
Total Nacional				Porcentaje de población que sale del área	20/9/2020	13,79
Total Nacional				Porcentaje de población que sale del área	16/9/2020	21,81
Total Nacional				Porcentaje de población que sale del área	13/9/2020	14,47
Total Nacional				Porcentaje de población que sale del área	9/9/2020	21,35
Total Nacional				Porcentaje de población que sale del área	6/9/2020	14,24
Total Nacional				Porcentaje de población que sale del área	2/9/2020	19,87
Total Nacional				Porcentaje de población que sale del área	30/8/2020	13,33
Total Nacional				Porcentaje de población que sale del área	26/8/2020	18,99
Total Nacional				Porcentaje de población que sale del área	23/8/2020	11,54
Total Nacional				Porcentaje de población que sale del área	19/8/2020	18,65
Total Nacional				Porcentaje de población que sale del área	16/8/2020	13,44
Total Nacional				Porcentaje de población que sale del área	12/8/2020	18,55
Total Nacional				Porcentaje de población que sale del área	9/8/2020	13,96
Total Nacional				Porcentaje de población que sale del área	5/8/2020	19,05
Total Nacional				Porcentaje de población que sale del área	2/8/2020	13,8
Total Nacional				Porcentaje de población que sale del área	29/7/2020	20,59
Total Nacional				Porcentaje de población que sale del área	26/7/2020	14,55
Total Nacional				Porcentaje de población que sale del área	22/7/2020	20,96
Total Nacional				Porcentaje de población que sale del área	19/7/2020	14,98
Total Nacional				Porcentaje de población que sale del área	15/7/2020	22,16
Total Nacional				Porcentaje de población que sale del área	12/7/2020	15,13
Total Nacional				Porcentaje de población que sale del área	8/7/2020	21,57
Total Nacional				Porcentaje de población que sale del área	5/7/2020	15,82
Total Nacional				Porcentaje de población que sale del área	1/7/2020	22,1
Total Nacional				Porcentaje de población que sale del área	28/6/2020	15,44
Total Nacional				Porcentaje de población que sale del área	24/6/2020	19,44
Total Nacional				Porcentaje de población que sale del área	20/6/2020	18,06
Total Nacional				Porcentaje de población que sale del área	19/6/2020	20,63
Total Nacional				Porcentaje de población que sale del área	18/6/2020	20,44
Total Nacional				Porcentaje de población que sale del área	17/6/2020	20,21
Total Nacional				Porcentaje de población que sale del área	16/6/2020	19,98
Total Nacional				Porcentaje de población que sale del área	15/6/2020	19,33
Total Nacional				Porcentaje de población que sale del área	14/6/2020	14,73
Total Nacional				Porcentaje de población que sale del área	13/6/2020	16,96
Total Nacional				Porcentaje de población que sale del área	12/6/2020	18,66
Total Nacional				Porcentaje de población que sale del área	11/6/2020	19,57
Total Nacional				Porcentaje de población que sale del área	10/6/2020	19,83
Total Nacional				Porcentaje de población que sale del área	9/6/2020	17,16
Total Nacional				Porcentaje de población que sale del área	8/6/2020	17,37
Total Nacional				Porcentaje de población que sale del área	7/6/2020	12,77
Total Nacional				Porcentaje de población que sale del área	6/6/2020	16,25
Total Nacional				Porcentaje de población que sale del área	5/6/2020	18,9
Total Nacional				Porcentaje de población que sale del área	4/6/2020	18,41
Total Nacional				Porcentaje de población que sale del área	3/6/2020	18,65
Total Nacional				Porcentaje de población que sale del área	2/6/2020	18,62
Total Nacional				Porcentaje de población que sale del área	1/6/2020	17,12
Total Nacional				Porcentaje de población que sale del área	31/5/2020	12,56
Total Nacional				Porcentaje de población que sale del área	30/5/2020	15,37
Total Nacional				Porcentaje de población que sale del área	29/5/2020	18,18
Total Nacional				Porcentaje de población que sale del área	28/5/2020	18,3
Total Nacional				Porcentaje de población que sale del área	27/5/2020	18,08
Total Nacional				Porcentaje de población que sale del área	26/5/2020	17,7
Total Nacional				Porcentaje de población que sale del área	25/5/2020	16,88
Total Nacional				Porcentaje de población que sale del área	24/5/2020	10,61
Total Nacional				Porcentaje de población que sale del área	23/5/2020	12,74
Total Nacional				Porcentaje de población que sale del área	22/5/2020	16,31
Total Nacional				Porcentaje de población que sale del área	21/5/2020	16,34
Total Nacional				Porcentaje de población que sale del área	20/5/2020	16,29
Total Nacional				Porcentaje de población que sale del área	19/5/2020	16,2
Total Nacional				Porcentaje de población que sale del área	18/5/2020	15,2
Total Nacional				Porcentaje de población que sale del área	17/5/2020	8,64
Total Nacional				Porcentaje de población que sale del área	16/5/2020	10,61
Total Nacional				Porcentaje de población que sale del área	15/5/2020	13,88
Total Nacional				Porcentaje de población que sale del área	14/5/2020	14,7
Total Nacional				Porcentaje de población que sale del área	13/5/2020	14,98
Total Nacional				Porcentaje de población que sale del área	12/5/2020	15,11
Total Nacional				Porcentaje de población que sale del área	11/5/2020	14,05
Total Nacional				Porcentaje de población que sale del área	10/5/2020	6,82
Total Nacional				Porcentaje de población que sale del área	9/5/2020	7,73
Total Nacional				Porcentaje de población que sale del área	8/5/2020	13,75
Total Nacional				Porcentaje de población que sale del área	7/5/2020	13,62
Total Nacional				Porcentaje de población que sale del área	6/5/2020	13,67
Total Nacional				Porcentaje de población que sale del área	5/5/2020	13,94
Total Nacional				Porcentaje de población que sale del área	4/5/2020	13,14
Total Nacional				Porcentaje de población que sale del área	3/5/2020	7,33
Total Nacional				Porcentaje de población que sale del área	2/5/2020	7,87
Total Nacional				Porcentaje de población que sale del área	1/5/2020	7,35
Total Nacional				Porcentaje de población que sale del área	30/4/2020	12,01
Total Nacional				Porcentaje de población que sale del área	29/4/2020	11,87
Total Nacional				Porcentaje de población que sale del área	28/4/2020	11,62
Total Nacional				Porcentaje de población que sale del área	27/4/2020	10,85
Total Nacional				Porcentaje de población que sale del área	26/4/2020	5,73
Total Nacional				Porcentaje de población que sale del área	25/4/2020	7,48
Total Nacional				Porcentaje de población que sale del área	24/4/2020	11,13
Total Nacional				Porcentaje de población que sale del área	23/4/2020	10,75
Total Nacional				Porcentaje de población que sale del área	22/4/2020	11,48
Total Nacional				Porcentaje de población que sale del área	21/4/2020	11,02
Total Nacional				Porcentaje de población que sale del área	20/4/2020	10,57
Total Nacional				Porcentaje de población que sale del área	19/4/2020	5,68
Total Nacional				Porcentaje de población que sale del área	18/4/2020	7,61
Total Nacional				Porcentaje de población que sale del área	17/4/2020	11,09
Total Nacional				Porcentaje de población que sale del área	16/4/2020	11,68
Total Nacional				Porcentaje de población que sale del área	15/4/2020	10,84
Total Nacional				Porcentaje de población que sale del área	14/4/2020	10,76
Total Nacional				Porcentaje de población que sale del área	13/4/2020	8,58
Total Nacional				Porcentaje de población que sale del área	12/4/2020	5,74
Total Nacional				Porcentaje de población que sale del área	11/4/2020	7
Total Nacional				Porcentaje de población que sale del área	10/4/2020	6,13
Total Nacional				Porcentaje de población que sale del área	9/4/2020	7,66
Total Nacional				Porcentaje de población que sale del área	8/4/2020	9,65
Total Nacional				Porcentaje de población que sale del área	7/4/2020	9,63
Total Nacional				Porcentaje de población que sale del área	6/4/2020	9,07
Total Nacional				Porcentaje de población que sale del área	5/4/2020	5,65
Total Nacional				Porcentaje de población que sale del área	4/4/2020	7,1
Total Nacional				Porcentaje de población que sale del área	3/4/2020	9,63
Total Nacional				Porcentaje de población que sale del área	2/4/2020	8,98
Total Nacional				Porcentaje de población que sale del área	1/4/2020	8,84
Total Nacional				Porcentaje de población que sale del área	31/3/2020	9,03
Total Nacional				Porcentaje de población que sale del área	30/3/2020	9,42
Total Nacional				Porcentaje de población que sale del área	28/3/2020	7,64
Total Nacional				Porcentaje de población que sale del área	26/3/2020	11,2
Total Nacional				Porcentaje de población que sale del área	24/3/2020	11,23
Total Nacional				Porcentaje de población que sale del área	22/3/2020	5,75
Total Nacional				Porcentaje de población que sale del área	20/3/2020	11,28
Total Nacional				Porcentaje de población que sale del área	18/3/2020	12,15
Total Nacional				Porcentaje de población que sale del área	16/3/2020	13,28
Total Nacional				Porcentaje de población que sale del área	18/11/2019	29,23
Total Nacional	Andalucía			Porcentaje de población que sale del área	29/12/2021	16,43
Total Nacional	Andalucía			Porcentaje de población que sale del área	26/12/2021	10,33
Total Nacional	Andalucía			Porcentaje de población que sale del área	22/12/2021	17,47
Total Nacional	Andalucía			Porcentaje de población que sale del área	19/12/2021	12,93
Total Nacional	Andalucía			Porcentaje de población que sale del área	15/12/2021	20,03
Total Nacional	Andalucía			Porcentaje de población que sale del área	12/12/2021	13,02
Total Nacional	Andalucía			Porcentaje de población que sale del área	8/12/2021	13,07
Total Nacional	Andalucía			Porcentaje de población que sale del área	1/12/2021	19,95
Total Nacional	Andalucía			Porcentaje de población que sale del área	28/11/2021	12,59
Total Nacional	Andalucía			Porcentaje de población que sale del área	24/11/2021	19,51
Total Nacional	Andalucía			Porcentaje de población que sale del área	21/11/2021	11,86
Total Nacional	Andalucía			Porcentaje de población que sale del área	17/11/2021	19,73
Total Nacional	Andalucía			Porcentaje de población que sale del área	14/11/2021	13,51
Total Nacional	Andalucía			Porcentaje de población que sale del área	10/11/2021	19,67
Total Nacional	Andalucía			Porcentaje de población que sale del área	7/11/2021	13,17
Total Nacional	Andalucía			Porcentaje de población que sale del área	3/11/2021	13,46
Total Nacional	Andalucía			Porcentaje de población que sale del área	31/10/2021	12,48
Total Nacional	Andalucía			Porcentaje de población que sale del área	27/10/2021	19,49
Total Nacional	Andalucía			Porcentaje de población que sale del área	24/10/2021	13,4
Total Nacional	Andalucía			Porcentaje de población que sale del área	20/10/2021	19,48
Total Nacional	Andalucía			Porcentaje de población que sale del área	17/10/2021	13,35
Total Nacional	Andalucía			Porcentaje de población que sale del área	13/10/2021	16,77
Total Nacional	Andalucía			Porcentaje de población que sale del área	10/10/2021	12,7
Total Nacional	Andalucía			Porcentaje de población que sale del área	6/10/2021	20,11
Total Nacional	Andalucía			Porcentaje de población que sale del área	3/10/2021	10,85
Total Nacional	Andalucía			Porcentaje de población que sale del área	29/9/2021	19,85
Total Nacional	Andalucía			Porcentaje de población que sale del área	26/9/2021	13,48
Total Nacional	Andalucía			Porcentaje de población que sale del área	22/9/2021	18,6
Total Nacional	Andalucía			Porcentaje de población que sale del área	19/9/2021	13,47
Total Nacional	Andalucía			Porcentaje de población que sale del área	15/9/2021	18,37
Total Nacional	Andalucía			Porcentaje de población que sale del área	12/9/2021	13,65
Total Nacional	Andalucía			Porcentaje de población que sale del área	8/9/2021	17,46
Total Nacional	Andalucía			Porcentaje de población que sale del área	5/9/2021	13,52
Total Nacional	Andalucía			Porcentaje de población que sale del área	1/9/2021	18,17
Total Nacional	Andalucía			Porcentaje de población que sale del área	29/8/2021	13
Total Nacional	Andalucía			Porcentaje de población que sale del área	25/8/2021	16,86
Total Nacional	Andalucía			Porcentaje de población que sale del área	22/8/2021	13,11
Total Nacional	Andalucía			Porcentaje de población que sale del área	18/8/2021	16,86
Total Nacional	Andalucía			Porcentaje de población que sale del área	15/8/2021	13,5
Total Nacional	Andalucía			Porcentaje de población que sale del área	11/8/2021	17,09
Total Nacional	Andalucía			Porcentaje de población que sale del área	8/8/2021	13,3
Total Nacional	Andalucía			Porcentaje de población que sale del área	4/8/2021	17,28
Total Nacional	Andalucía			Porcentaje de población que sale del área	1/8/2021	13,46
Total Nacional	Andalucía			Porcentaje de población que sale del área	28/7/2021	17,92
Total Nacional	Andalucía			Porcentaje de población que sale del área	25/7/2021	12,89
Total Nacional	Andalucía			Porcentaje de población que sale del área	21/7/2021	18,03
Total Nacional	Andalucía			Porcentaje de población que sale del área	18/7/2021	12,78
Total Nacional	Andalucía			Porcentaje de población que sale del área	14/7/2021	18,53
Total Nacional	Andalucía			Porcentaje de población que sale del área	11/7/2021	13,17
Total Nacional	Andalucía			Porcentaje de población que sale del área	7/7/2021	18,62
Total Nacional	Andalucía			Porcentaje de población que sale del área	4/7/2021	13,09
Total Nacional	Andalucía			Porcentaje de población que sale del área	30/6/2021	19,15
Total Nacional	Andalucía			Porcentaje de población que sale del área	27/6/2021	14,12
Total Nacional	Andalucía			Porcentaje de población que sale del área	23/6/2021	13,05
Total Nacional	Andalucía			Porcentaje de población que sale del área	20/6/2021	13,27
Total Nacional	Andalucía			Porcentaje de población que sale del área	16/6/2021	19,42
Total Nacional	Andalucía			Porcentaje de población que sale del área	13/6/2021	13,66
Total Nacional	Andalucía			Porcentaje de población que sale del área	9/6/2021	19,68
Total Nacional	Andalucía			Porcentaje de población que sale del área	6/6/2021	13,74
Total Nacional	Andalucía			Porcentaje de población que sale del área	2/6/2021	19,73
Total Nacional	Andalucía			Porcentaje de población que sale del área	30/5/2021	11,31
Total Nacional	Andalucía			Porcentaje de población que sale del área	26/5/2021	17,7
Total Nacional	Andalucía			Porcentaje de población que sale del área	23/5/2021	9,49
Total Nacional	Andalucía			Porcentaje de población que sale del área	19/5/2021	19,82
Total Nacional	Andalucía			Porcentaje de población que sale del área	16/5/2021	13,97
Total Nacional	Andalucía			Porcentaje de población que sale del área	12/5/2021	17,75
Total Nacional	Andalucía			Porcentaje de población que sale del área	9/5/2021	12,01
Total Nacional	Andalucía			Porcentaje de población que sale del área	5/5/2021	19,46
Total Nacional	Andalucía			Porcentaje de población que sale del área	2/5/2021	8,64
Total Nacional	Andalucía			Porcentaje de población que sale del área	28/4/2021	17,98
Total Nacional	Andalucía			Porcentaje de población que sale del área	25/4/2021	8
Total Nacional	Andalucía			Porcentaje de población que sale del área	21/4/2021	17,52
Total Nacional	Andalucía			Porcentaje de población que sale del área	18/4/2021	12,27
Total Nacional	Andalucía			Porcentaje de población que sale del área	14/4/2021	18,99
Total Nacional	Andalucía			Porcentaje de población que sale del área	11/4/2021	11,49
Total Nacional	Andalucía			Porcentaje de población que sale del área	7/4/2021	19,37
Total Nacional	Andalucía			Porcentaje de población que sale del área	4/4/2021	11,75
Total Nacional	Andalucía			Porcentaje de población que sale del área	31/3/2021	17,67
Total Nacional	Andalucía			Porcentaje de población que sale del área	28/3/2021	10,95
Total Nacional	Andalucía			Porcentaje de población que sale del área	24/3/2021	19,31
Total Nacional	Andalucía			Porcentaje de población que sale del área	21/3/2021	12,56
Total Nacional	Andalucía			Porcentaje de población que sale del área	17/3/2021	19,42
Total Nacional	Andalucía			Porcentaje de población que sale del área	14/3/2021	13,4
Total Nacional	Andalucía			Porcentaje de población que sale del área	10/3/2021	18,65
Total Nacional	Andalucía			Porcentaje de población que sale del área	7/3/2021	9,85
Total Nacional	Andalucía			Porcentaje de población que sale del área	3/3/2021	18,43
Total Nacional	Andalucía			Porcentaje de población que sale del área	28/2/2021	11,51
Total Nacional	Andalucía			Porcentaje de población que sale del área	24/2/2021	17,7
Total Nacional	Andalucía			Porcentaje de población que sale del área	21/2/2021	8,71
Total Nacional	Andalucía			Porcentaje de población que sale del área	17/2/2021	17,69
Total Nacional	Andalucía			Porcentaje de población que sale del área	14/2/2021	9,81
Total Nacional	Andalucía			Porcentaje de población que sale del área	10/2/2021	15,92
Total Nacional	Andalucía			Porcentaje de población que sale del área	7/2/2021	7,86
Total Nacional	Andalucía			Porcentaje de población que sale del área	3/2/2021	16,85
Total Nacional	Andalucía			Porcentaje de población que sale del área	31/1/2021	7,91
Total Nacional	Andalucía			Porcentaje de población que sale del área	27/1/2021	16,42
Total Nacional	Andalucía			Porcentaje de población que sale del área	24/1/2021	7,65
Total Nacional	Andalucía			Porcentaje de población que sale del área	20/1/2021	16,12
Total Nacional	Andalucía			Porcentaje de población que sale del área	17/1/2021	9,76
Total Nacional	Andalucía			Porcentaje de población que sale del área	13/1/2021	14,68
Total Nacional	Andalucía			Porcentaje de población que sale del área	10/1/2021	9,17
Total Nacional	Andalucía			Porcentaje de población que sale del área	6/1/2021	10,53
Total Nacional	Andalucía			Porcentaje de población que sale del área	3/1/2021	11,58
Total Nacional	Andalucía			Porcentaje de población que sale del área	30/12/2020	17,19
Total Nacional	Andalucía			Porcentaje de población que sale del área	27/12/2020	12,46
Total Nacional	Andalucía			Porcentaje de población que sale del área	23/12/2020	18,22
Total Nacional	Andalucía			Porcentaje de población que sale del área	20/12/2020	12,26
Total Nacional	Andalucía			Porcentaje de población que sale del área	16/12/2020	18,32
Total Nacional	Andalucía			Porcentaje de población que sale del área	13/12/2020	12,22
Total Nacional	Andalucía			Porcentaje de población que sale del área	9/12/2020	17,42
Total Nacional	Andalucía			Porcentaje de población que sale del área	6/12/2020	9,34
Total Nacional	Andalucía			Porcentaje de población que sale del área	2/12/2020	17,59
Total Nacional	Andalucía			Porcentaje de población que sale del área	29/11/2020	8,31
Total Nacional	Andalucía			Porcentaje de población que sale del área	25/11/2020	16,69
Total Nacional	Andalucía			Porcentaje de población que sale del área	22/11/2020	8,68
Total Nacional	Andalucía			Porcentaje de población que sale del área	18/11/2020	16,74
Total Nacional	Andalucía			Porcentaje de población que sale del área	15/11/2020	8,27
Total Nacional	Andalucía			Porcentaje de población que sale del área	11/11/2020	16,59
Total Nacional	Andalucía			Porcentaje de población que sale del área	8/11/2020	9,62
Total Nacional	Andalucía			Porcentaje de población que sale del área	4/11/2020	17,04
Total Nacional	Andalucía			Porcentaje de población que sale del área	1/11/2020	10,32
Total Nacional	Andalucía			Porcentaje de población que sale del área	28/10/2020	18,13
Total Nacional	Andalucía			Porcentaje de población que sale del área	25/10/2020	12,42
Total Nacional	Andalucía			Porcentaje de población que sale del área	21/10/2020	18
Total Nacional	Andalucía			Porcentaje de población que sale del área	18/10/2020	12,53
Total Nacional	Andalucía			Porcentaje de población que sale del área	14/10/2020	19,06
Total Nacional	Andalucía			Porcentaje de población que sale del área	11/10/2020	13,9
Total Nacional	Andalucía			Porcentaje de población que sale del área	7/10/2020	19,12
Total Nacional	Andalucía			Porcentaje de población que sale del área	4/10/2020	12,55
Total Nacional	Andalucía			Porcentaje de población que sale del área	30/9/2020	16,55
Total Nacional	Andalucía			Porcentaje de población que sale del área	27/9/2020	11
Total Nacional	Andalucía			Porcentaje de población que sale del área	23/9/2020	18,43
Total Nacional	Andalucía			Porcentaje de población que sale del área	20/9/2020	12,54
Total Nacional	Andalucía			Porcentaje de población que sale del área	16/9/2020	19,33
Total Nacional	Andalucía			Porcentaje de población que sale del área	13/9/2020	12,7
Total Nacional	Andalucía			Porcentaje de población que sale del área	9/9/2020	19,12
Total Nacional	Andalucía			Porcentaje de población que sale del área	6/9/2020	13,35
Total Nacional	Andalucía			Porcentaje de población que sale del área	2/9/2020	18,35
Total Nacional	Andalucía			Porcentaje de población que sale del área	30/8/2020	13,17
Total Nacional	Andalucía			Porcentaje de población que sale del área	26/8/2020	17,81
Total Nacional	Andalucía			Porcentaje de población que sale del área	23/8/2020	11,69
Total Nacional	Andalucía			Porcentaje de población que sale del área	19/8/2020	17,63
Total Nacional	Andalucía			Porcentaje de población que sale del área	16/8/2020	13,31
Total Nacional	Andalucía			Porcentaje de población que sale del área	12/8/2020	18,1
Total Nacional	Andalucía			Porcentaje de población que sale del área	9/8/2020	13,67
Total Nacional	Andalucía			Porcentaje de población que sale del área	5/8/2020	16,06
Total Nacional	Andalucía			Porcentaje de población que sale del área	2/8/2020	11,84
Total Nacional	Andalucía			Porcentaje de población que sale del área	29/7/2020	16,94
Total Nacional	Andalucía			Porcentaje de población que sale del área	26/7/2020	12,81
Total Nacional	Andalucía			Porcentaje de población que sale del área	22/7/2020	18,39
Total Nacional	Andalucía			Porcentaje de población que sale del área	19/7/2020	14,03
Total Nacional	Andalucía			Porcentaje de población que sale del área	15/7/2020	19,91
Total Nacional	Andalucía			Porcentaje de población que sale del área	12/7/2020	13,98
Total Nacional	Andalucía			Porcentaje de población que sale del área	8/7/2020	19,3
Total Nacional	Andalucía			Porcentaje de población que sale del área	5/7/2020	14,45
Total Nacional	Andalucía			Porcentaje de población que sale del área	1/7/2020	20,06
